"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42071","0","10","70","0","2016","A","","Lancaster County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",13264,234156,10305707198,2007339370,106798117,846,44012,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",195,1.5,4773,2.1,346911018,3.5,125613912,6.7,1937047,1.8,11,1.3,596,1.4
"42071","1","10","71","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",71,1240,77195807,0,0,1197,62263,"",0.86,0.27,0.26,0.00,0.00,0.97,0.97,"",0,0.0,36,3.0,625986,0.8,0,0.0,0,0.0,-26,-2.1,-1311,-2.1
"42071","1","102","72","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",71,1240,77195807,0,0,1197,62263,"",0.86,0.27,0.27,0.00,0.00,0.97,0.97,"",0,0.0,36,3.0,625986,0.8,0,0.0,0,0.0,-26,-2.1,-1311,-2.1
"42071","1","1021","73","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",59,1068,66051155,0,0,1189,61846,"",1.43,0.95,1.20,0.00,0.00,1.27,1.27,"",0,0.0,33,3.2,89786,0.1,0,0.0,0,0.0,-37,-3.0,-1890,-3.0
"42071","1","1025","73","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,1708390,0,0,1528,79460,"",0.54,0.03,0.04,0.00,0.00,1.28,1.28,"",0,0.0,3,15.8,360135,26.7,0,0.0,0,0.0,126,9.0,6581,9.0
"42071","1","1028","73","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,150,9436262,0,0,1207,62769,"",0.33,0.06,0.05,0.00,0.00,0.87,0.87,"",0,0.0,-1,-0.7,176065,1.9,0,0.0,0,0.0,28,2.4,1443,2.4
"42071","1","48-49","74","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",59,1068,66051155,0,0,1189,61846,"",1.48,1.04,1.30,0.00,0.00,1.25,1.25,"",0,0.0,33,3.2,89786,0.1,0,0.0,0,0.0,-37,-3.0,-1890,-3.0
"42071","1","491","75","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",59,1068,66051155,0,0,1189,61846,"",1.49,1.06,1.35,0.00,0.00,1.27,1.27,"",0,0.0,33,3.2,89786,0.1,0,0.0,0,0.0,-37,-3.0,-1890,-3.0
"42071","1","4911","76","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",59,1068,66051155,0,0,1189,61846,"",1.49,1.06,1.35,0.00,0.00,1.27,1.27,"",0,0.0,33,3.2,89786,0.1,0,0.0,0,0.0,-37,-3.0,-1890,-3.0
"42071","1","49111","77","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",59,1068,66051155,0,0,1189,61846,"",1.49,1.06,1.35,0.00,0.00,1.27,1.27,"",0,0.0,33,3.2,89786,0.1,0,0.0,0,0.0,-37,-3.0,-1890,-3.0
"42071","1","491110","78","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",59,1068,66051155,0,0,1189,61846,"",1.49,1.06,1.35,0.00,0.00,1.27,1.27,"",0,0.0,33,3.2,89786,0.1,0,0.0,0,0.0,-37,-3.0,-1890,-3.0
"42071","1","62","74","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,22,1708390,0,0,1528,79460,"",0.60,0.03,0.04,0.00,0.00,1.28,1.28,"",0,0.0,3,15.8,360135,26.7,0,0.0,0,0.0,126,9.0,6581,9.0
