GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US42071000100,42071000100,"Census Tract 1, Lancaster County, Pennsylvania",2491,381
1400000US42071000200,42071000200,"Census Tract 2, Lancaster County, Pennsylvania",3247,473
1400000US42071000300,42071000300,"Census Tract 3, Lancaster County, Pennsylvania",5347,506
1400000US42071000400,42071000400,"Census Tract 4, Lancaster County, Pennsylvania",4077,362
1400000US42071000500,42071000500,"Census Tract 5, Lancaster County, Pennsylvania",4506,359
1400000US42071000600,42071000600,"Census Tract 6, Lancaster County, Pennsylvania",3018,292
1400000US42071000700,42071000700,"Census Tract 7, Lancaster County, Pennsylvania",4389,315
1400000US42071000800,42071000800,"Census Tract 8, Lancaster County, Pennsylvania",3953,427
1400000US42071000900,42071000900,"Census Tract 9, Lancaster County, Pennsylvania",3654,362
1400000US42071001000,42071001000,"Census Tract 10, Lancaster County, Pennsylvania",3494,350
1400000US42071001100,42071001100,"Census Tract 11, Lancaster County, Pennsylvania",3245,428
1400000US42071001200,42071001200,"Census Tract 12, Lancaster County, Pennsylvania",5427,363
1400000US42071001400,42071001400,"Census Tract 14, Lancaster County, Pennsylvania",4747,526
1400000US42071010101,42071010101,"Census Tract 101.01, Lancaster County, Pennsylvania",7372,19
1400000US42071010102,42071010102,"Census Tract 101.02, Lancaster County, Pennsylvania",3870,18
1400000US42071010201,42071010201,"Census Tract 102.01, Lancaster County, Pennsylvania",4875,141
1400000US42071010202,42071010202,"Census Tract 102.02, Lancaster County, Pennsylvania",5782,141
1400000US42071010300,42071010300,"Census Tract 103, Lancaster County, Pennsylvania",9162,31
1400000US42071010400,42071010400,"Census Tract 104, Lancaster County, Pennsylvania",4867,17
1400000US42071010501,42071010501,"Census Tract 105.01, Lancaster County, Pennsylvania",4718,213
1400000US42071010502,42071010502,"Census Tract 105.02, Lancaster County, Pennsylvania",6678,214
1400000US42071010600,42071010600,"Census Tract 106, Lancaster County, Pennsylvania",10640,31
1400000US42071010701,42071010701,"Census Tract 107.01, Lancaster County, Pennsylvania",5881,307
1400000US42071010702,42071010702,"Census Tract 107.02, Lancaster County, Pennsylvania",5717,304
1400000US42071010801,42071010801,"Census Tract 108.01, Lancaster County, Pennsylvania",8595,17
1400000US42071010802,42071010802,"Census Tract 108.02, Lancaster County, Pennsylvania",3391,16
1400000US42071010900,42071010900,"Census Tract 109, Lancaster County, Pennsylvania",7978,18
1400000US42071011000,42071011000,"Census Tract 110, Lancaster County, Pennsylvania",2601,17
1400000US42071011100,42071011100,"Census Tract 111, Lancaster County, Pennsylvania",8145,26
1400000US42071011200,42071011200,"Census Tract 112, Lancaster County, Pennsylvania",1771,202
1400000US42071011300,42071011300,"Census Tract 113, Lancaster County, Pennsylvania",4484,285
1400000US42071011400,42071011400,"Census Tract 114, Lancaster County, Pennsylvania",4127,296
1400000US42071011502,42071011502,"Census Tract 115.02, Lancaster County, Pennsylvania",6548,398
1400000US42071011503,42071011503,"Census Tract 115.03, Lancaster County, Pennsylvania",5105,387
1400000US42071011504,42071011504,"Census Tract 115.04, Lancaster County, Pennsylvania",7600,335
1400000US42071011600,42071011600,"Census Tract 116, Lancaster County, Pennsylvania",6372,405
1400000US42071011701,42071011701,"Census Tract 117.01, Lancaster County, Pennsylvania",4734,306
1400000US42071011703,42071011703,"Census Tract 117.03, Lancaster County, Pennsylvania",7712,392
1400000US42071011704,42071011704,"Census Tract 117.04, Lancaster County, Pennsylvania",4440,298
1400000US42071011705,42071011705,"Census Tract 117.05, Lancaster County, Pennsylvania",5390,429
1400000US42071011801,42071011801,"Census Tract 118.01, Lancaster County, Pennsylvania",2967,183
1400000US42071011802,42071011802,"Census Tract 118.02, Lancaster County, Pennsylvania",6021,368
1400000US42071011803,42071011803,"Census Tract 118.03, Lancaster County, Pennsylvania",6661,408
1400000US42071011804,42071011804,"Census Tract 118.04, Lancaster County, Pennsylvania",8267,322
1400000US42071011805,42071011805,"Census Tract 118.05, Lancaster County, Pennsylvania",2413,201
1400000US42071011901,42071011901,"Census Tract 119.01, Lancaster County, Pennsylvania",5779,365
1400000US42071011902,42071011902,"Census Tract 119.02, Lancaster County, Pennsylvania",7406,353
1400000US42071012001,42071012001,"Census Tract 120.01, Lancaster County, Pennsylvania",5326,179
1400000US42071012002,42071012002,"Census Tract 120.02, Lancaster County, Pennsylvania",3883,182
1400000US42071012102,42071012102,"Census Tract 121.02, Lancaster County, Pennsylvania",8305,330
1400000US42071012103,42071012103,"Census Tract 121.03, Lancaster County, Pennsylvania",4092,255
1400000US42071012104,42071012104,"Census Tract 121.04, Lancaster County, Pennsylvania",5924,329
1400000US42071012200,42071012200,"Census Tract 122, Lancaster County, Pennsylvania",7305,209
1400000US42071012301,42071012301,"Census Tract 123.01, Lancaster County, Pennsylvania",3206,186
1400000US42071012302,42071012302,"Census Tract 123.02, Lancaster County, Pennsylvania",3203,159
1400000US42071012402,42071012402,"Census Tract 124.02, Lancaster County, Pennsylvania",3956,19
1400000US42071012403,42071012403,"Census Tract 124.03, Lancaster County, Pennsylvania",4843,272
1400000US42071012404,42071012404,"Census Tract 124.04, Lancaster County, Pennsylvania",5251,268
1400000US42071012501,42071012501,"Census Tract 125.01, Lancaster County, Pennsylvania",7724,391
1400000US42071012502,42071012502,"Census Tract 125.02, Lancaster County, Pennsylvania",4826,313
1400000US42071012601,42071012601,"Census Tract 126.01, Lancaster County, Pennsylvania",7385,19
1400000US42071012602,42071012602,"Census Tract 126.02, Lancaster County, Pennsylvania",4790,23
1400000US42071012700,42071012700,"Census Tract 127, Lancaster County, Pennsylvania",8179,269
1400000US42071012800,42071012800,"Census Tract 128, Lancaster County, Pennsylvania",5418,28
1400000US42071012900,42071012900,"Census Tract 129, Lancaster County, Pennsylvania",7140,18
1400000US42071013000,42071013000,"Census Tract 130, Lancaster County, Pennsylvania",8112,34
1400000US42071013101,42071013101,"Census Tract 131.01, Lancaster County, Pennsylvania",5186,262
1400000US42071013102,42071013102,"Census Tract 131.02, Lancaster County, Pennsylvania",3658,261
1400000US42071013202,42071013202,"Census Tract 132.02, Lancaster County, Pennsylvania",5807,305
1400000US42071013203,42071013203,"Census Tract 132.03, Lancaster County, Pennsylvania",5227,315
1400000US42071013204,42071013204,"Census Tract 132.04, Lancaster County, Pennsylvania",6573,334
1400000US42071013301,42071013301,"Census Tract 133.01, Lancaster County, Pennsylvania",4564,272
1400000US42071013303,42071013303,"Census Tract 133.03, Lancaster County, Pennsylvania",4752,334
1400000US42071013304,42071013304,"Census Tract 133.04, Lancaster County, Pennsylvania",7445,297
1400000US42071013400,42071013400,"Census Tract 134, Lancaster County, Pennsylvania",3257,267
1400000US42071013501,42071013501,"Census Tract 135.01, Lancaster County, Pennsylvania",10057,508
1400000US42071013502,42071013502,"Census Tract 135.02, Lancaster County, Pennsylvania",4059,317
1400000US42071013503,42071013503,"Census Tract 135.03, Lancaster County, Pennsylvania",2419,169
1400000US42071013601,42071013601,"Census Tract 136.01, Lancaster County, Pennsylvania",2713,273
1400000US42071013602,42071013602,"Census Tract 136.02, Lancaster County, Pennsylvania",6038,394
1400000US42071013701,42071013701,"Census Tract 137.01, Lancaster County, Pennsylvania",4843,326
1400000US42071013702,42071013702,"Census Tract 137.02, Lancaster County, Pennsylvania",9824,366
1400000US42071013800,42071013800,"Census Tract 138, Lancaster County, Pennsylvania",3735,230
1400000US42071013901,42071013901,"Census Tract 139.01, Lancaster County, Pennsylvania",4702,23
1400000US42071013902,42071013902,"Census Tract 139.02, Lancaster County, Pennsylvania",3820,29
1400000US42071014000,42071014000,"Census Tract 140, Lancaster County, Pennsylvania",7131,20
