GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US420710001001,420710001001,"Block Group 1, Census Tract 1, Lancaster County, Pennsylvania",475,173,343,110,89,127,0,10,0,10,0,10,34,40,9,16,0,10,9,16
1500000US420710001002,420710001002,"Block Group 2, Census Tract 1, Lancaster County, Pennsylvania",530,132,344,108,125,92,29,44,0,10,0,10,0,10,32,54,0,10,32,54
1500000US420710001003,420710001003,"Block Group 3, Census Tract 1, Lancaster County, Pennsylvania",1486,422,975,358,173,208,0,10,146,167,0,10,147,124,45,43,0,10,45,43
1500000US420710002001,420710002001,"Block Group 1, Census Tract 2, Lancaster County, Pennsylvania",1431,293,759,221,133,142,0,10,257,138,0,10,224,221,58,54,12,20,46,50
1500000US420710002002,420710002002,"Block Group 2, Census Tract 2, Lancaster County, Pennsylvania",1816,549,1125,489,212,139,0,10,163,119,0,10,308,203,8,13,0,10,8,13
1500000US420710003001,420710003001,"Block Group 1, Census Tract 3, Lancaster County, Pennsylvania",1137,347,825,314,130,135,0,10,109,155,0,10,0,10,73,75,23,35,50,61
1500000US420710003002,420710003002,"Block Group 2, Census Tract 3, Lancaster County, Pennsylvania",922,344,610,301,237,180,0,10,0,10,0,10,53,74,22,28,8,15,14,24
1500000US420710003003,420710003003,"Block Group 3, Census Tract 3, Lancaster County, Pennsylvania",1613,446,849,280,369,290,0,10,11,16,0,10,316,224,68,53,18,20,50,50
1500000US420710003004,420710003004,"Block Group 4, Census Tract 3, Lancaster County, Pennsylvania",1675,409,1001,355,149,113,0,10,122,147,0,10,384,292,19,30,0,10,19,30
