Borough,Lat,Long
Adamstown Borough,40.242079,-76.053722
Akron Borough,40.156790,-76.201360
Christiana Borough,39.954938,-75.995672
Columbia Borough,40.033768,-76.496134
Denver Borough,40.233871,-76.136903
East Petersburg Borough,40.100664,-76.355505
Elizabethtown Borough,40.151724,-76.600765
Ephrata Borough,40.17999,-76.178667
Lititz Borough,40.157405,-76.304964
Manheim Borough,40.164293,-76.392483
Marietta Borough,40.057842,-76.550113
Millersville Borough,39.997266,-76.352839
Mount Joy Borough,40.109407,-76.501883
Mountville Borough,40.036503,-76.429004
New Holland Borough,40.101624,-76.085732
Quarryville Borough,39.897499,-76.161839
Strasburg Borough,39.983111,-76.184108
Terre Hill Borough,40.157307,-76.047338
