Year,Period,labor force,employment,unemployment,unemployment rate,County
2012,Jan,264496,245645,18851,7.1,Lancaster
2012,Feb,265591,247305,18286,6.9,Lancaster
2012,Mar,266570,249061,17509,6.6,Lancaster
2012,Apr,266977,251325,15652,5.9,Lancaster
2012,May,269704,252474,17230,6.4,Lancaster
2012,Jun,272781,254072,18709,6.9,Lancaster
2012,Jul,274367,254764,19603,7.1,Lancaster
2012,Aug,271364,252615,18749,6.9,Lancaster
2012,Sep,270601,254139,16462,6.1,Lancaster
2012,Oct,269895,253189,16706,6.2,Lancaster
2012,Nov,268441,252576,15865,5.9,Lancaster
2012,Dec,269481,252692,16789,6.2,Lancaster
2013,Jan,268220,248461,19759,7.4,Lancaster
2013,Feb,267464,248975,18489,6.9,Lancaster
2013,Mar,267184,250370,16814,6.3,Lancaster
2013,Apr,267491,252261,15230,5.7,Lancaster
2013,May,271413,255019,16394,6,Lancaster
2013,Jun,274723,256929,17794,6.5,Lancaster
2013,Jul,276821,258866,17955,6.5,Lancaster
2013,Aug,274871,257749,17122,6.2,Lancaster
2013,Sep,271006,256245,14761,5.4,Lancaster
2013,Oct,268935,254449,14486,5.4,Lancaster
2013,Nov,268791,255142,13649,5.1,Lancaster
2013,Dec,268730,255791,12939,4.8,Lancaster
2014,Jan,268239,253915,14324,5.3,Lancaster
2014,Feb,267750,253237,14513,5.4,Lancaster
2014,Mar,270090,256300,13790,5.1,Lancaster
2014,Apr,268760,257694,11066,4.1,Lancaster
2014,May,272290,259525,12765,4.7,Lancaster
2014,Jun,275178,262004,13174,4.8,Lancaster
2014,Jul,279059,264312,14747,5.3,Lancaster
2014,Aug,276014,262231,13783,5,Lancaster
2014,Sep,272952,261871,11081,4.1,Lancaster
2014,Oct,274763,263920,10843,3.9,Lancaster
2014,Nov,272980,262420,10560,3.9,Lancaster
2014,Dec,273095,262824,10271,3.8,Lancaster
2015,Jan,272183,259373,12810,4.7,Lancaster
2015,Feb,271339,259072,12267,4.5,Lancaster
2015,Mar,272516,261081,11435,4.2,Lancaster
2015,Apr,273186,263043,10143,3.7,Lancaster
2015,May,278041,266001,12040,4.3,Lancaster
2015,Jun,280632,268009,12623,4.5,Lancaster
2015,Jul,283003,269767,13236,4.7,Lancaster
2015,Aug,280078,267898,12180,4.3,Lancaster
2015,Sep,275079,264977,10102,3.7,Lancaster
2015,Oct,276086,266183,9903,3.6,Lancaster
2015,Nov,274722,264795,9927,3.6,Lancaster
2015,Dec,274910,265311,9599,3.5,Lancaster
2016,Jan,276575,264879,11696,4.2,Lancaster
2016,Feb,277928,265842,12086,4.3,Lancaster
2016,Mar,280249,268497,11752,4.2,Lancaster
2016,Apr,279665,269089,10576,3.8,Lancaster
2016,May,281245,270140,11105,3.9,Lancaster
2016,Jun,284143,271506,12637,4.4,Lancaster
2016,Jul,286574,272926,13648,4.8,Lancaster
2016,Aug,283749,270720,13029,4.6,Lancaster
2016,Sep,280289,269101,11188,4,Lancaster
2016,Oct,278267,267169,11098,4,Lancaster
2016,Nov,275917,265905,10012,3.6,Lancaster
2016,Dec,274137,264275,9862,3.6,Lancaster
2017,Jan,276141,263922,12219,4.4,Lancaster
2017,Feb,278327,266367,11960,4.3,Lancaster
2017,Mar,280042,269352,10690,3.8,Lancaster
2017,Apr,281361,271905,9456,3.4,Lancaster
2017,May,281974,271392,10582,3.8,Lancaster
2017,Jun,285369,273823,11546,4,Lancaster
2017,Jul,287544,275252,12292,4.3,Lancaster
2017,Aug,284252,272074,12178,4.3,Lancaster
2017,Sep,279976,270253,9723,3.5,Lancaster
2017,Oct,276882,267543,9339,3.4,Lancaster
2017,Nov,275553,266211,9342,3.4,Lancaster
2017,Dec,276098,266984,9114,3.3,Lancaster
2018,Jan,276386,265024,11362,4.1,Lancaster
2018,Feb,278431,267253,11178,4,Lancaster
