Year,Period,labor force,employment,unemployment,unemployment rate,County
2012,Jan,269465,253629,15836,5.9,Chester
2012,Feb,269270,253714,15556,5.8,Chester
2012,Mar,270849,255616,15233,5.6,Chester
2012,Apr,270363,256612,13751,5.1,Chester
2012,May,273959,258852,15107,5.5,Chester
2012,Jun,277115,260342,16773,6.1,Chester
2012,Jul,278345,260553,17792,6.4,Chester
2012,Aug,275181,258022,17159,6.2,Chester
2012,Sep,272831,258148,14683,5.4,Chester
2012,Oct,272911,258441,14470,5.3,Chester
2012,Nov,272609,258917,13692,5.0,Chester
2012,Dec,272803,258625,14178,5.2,Chester
2013,Jan,272918,256654,16264,6.0,Chester
2013,Feb,271524,256020,15504,5.7,Chester
2013,Mar,271104,256638,14466,5.3,Chester
2013,Apr,271211,257668,13543,5.0,Chester
2013,May,274413,259558,14855,5.4,Chester
2013,Jun,277775,261700,16075,5.8,Chester
2013,Jul,279781,263429,16352,5.8,Chester
2013,Aug,277306,261314,15992,5.8,Chester
2013,Sep,272511,258978,13533,5.0,Chester
2013,Oct,270922,257792,13130,4.8,Chester
2013,Nov,271901,259462,12439,4.6,Chester
2013,Dec,271187,259967,11220,4.1,Chester
2014,Jan,271540,259068,12472,4.6,Chester
2014,Feb,269969,257278,12691,4.7,Chester
2014,Mar,271925,259710,12215,4.5,Chester
2014,Apr,270372,260321,10051,3.7,Chester
2014,May,273717,262022,11695,4.3,Chester
2014,Jun,277040,265236,11804,4.3,Chester
2014,Jul,280541,266990,13551,4.8,Chester
2014,Aug,277109,264077,13032,4.7,Chester
2014,Sep,272917,262593,10324,3.8,Chester
2014,Oct,274710,264762,9948,3.6,Chester
2014,Nov,273747,263991,9756,3.6,Chester
2014,Dec,272983,263837,9146,3.4,Chester
2015,Jan,273770,262447,11323,4.1,Chester
2015,Feb,272252,261393,10859,4.0,Chester
2015,Mar,273362,263040,10322,3.8,Chester
2015,Apr,274553,265153,9400,3.4,Chester
2015,May,279360,268146,11214,4.0,Chester
2015,Jun,282500,270967,11533,4.1,Chester
2015,Jul,284139,271557,12582,4.4,Chester
2015,Aug,280130,268448,11682,4.2,Chester
2015,Sep,274974,265326,9648,3.5,Chester
2015,Oct,276971,267388,9583,3.5,Chester
2015,Nov,276596,266964,9632,3.5,Chester
2015,Dec,276146,267247,8899,3.2,Chester
2016,Jan,276801,266226,10575,3.8,Chester
2016,Feb,277665,266833,10832,3.9,Chester
2016,Mar,280175,269435,10740,3.8,Chester
2016,Apr,279685,269687,9998,3.6,Chester
2016,May,281364,270671,10693,3.8,Chester
2016,Jun,284722,272845,11877,4.2,Chester
2016,Jul,287178,274306,12872,4.5,Chester
2016,Aug,284551,271988,12563,4.4,Chester
2016,Sep,280026,269256,10770,3.8,Chester
2016,Oct,279685,268936,10749,3.8,Chester
2016,Nov,277452,267880,9572,3.4,Chester
2016,Dec,275672,266511,9161,3.3,Chester
2017,Jan,276974,266118,10856,3.9,Chester
2017,Feb,278070,267181,10889,3.9,Chester
2017,Mar,280436,270516,9920,3.5,Chester
2017,Apr,281863,272610,9253,3.3,Chester
2017,May,282931,272718,10213,3.6,Chester
2017,Jun,286843,276184,10659,3.7,Chester
2017,Jul,288861,277199,11662,4.0,Chester
2017,Aug,285168,273528,11640,4.1,Chester
2017,Sep,280676,271216,9460,3.4,Chester
2017,Oct,278573,269601,8972,3.2,Chester
2017,Nov,276917,267892,9025,3.3,Chester
2017,Dec,276319,267875,8444,3.1,Chester
2018,Jan,275483,265400,10083,3.7,Chester
2018,Feb,277115,266952,10163,3.7,Chester
