Year,Period,labor force,employment,unemployment,unemployment rate,County
2012,Jan,138479,127590,10889,7.9,Dauphin
2012,Feb,138536,127796,10740,7.8,Dauphin
2012,Mar,139535,129263,10272,7.4,Dauphin
2012,Apr,139350,129995,9355,6.7,Dauphin
2012,May,141433,131106,10327,7.3,Dauphin
2012,Jun,143728,132426,11302,7.9,Dauphin
2012,Jul,145180,133525,11655,8.0,Dauphin
2012,Aug,143963,132710,11253,7.8,Dauphin
2012,Sep,141393,131291,10102,7.1,Dauphin
2012,Oct,141523,131282,10241,7.2,Dauphin
2012,Nov,140369,130846,9523,6.8,Dauphin
2012,Dec,140328,130357,9971,7.1,Dauphin
2013,Jan,140163,128784,11379,8.1,Dauphin
2013,Feb,139561,128867,10694,7.7,Dauphin
2013,Mar,139955,130020,9935,7.1,Dauphin
2013,Apr,140065,130912,9153,6.5,Dauphin
2013,May,141825,132055,9770,6.9,Dauphin
2013,Jun,143289,132839,10450,7.3,Dauphin
2013,Jul,143980,133612,10368,7.2,Dauphin
2013,Aug,142493,132595,9898,6.9,Dauphin
2013,Sep,139790,130950,8840,6.3,Dauphin
2013,Oct,138690,129855,8835,6.4,Dauphin
2013,Nov,138504,130421,8083,5.8,Dauphin
2013,Dec,137332,129764,7568,5.5,Dauphin
2014,Jan,137395,128928,8467,6.2,Dauphin
2014,Feb,137445,128948,8497,6.2,Dauphin
2014,Mar,138135,129854,8281,6.0,Dauphin
2014,Apr,138139,131221,6918,5.0,Dauphin
2014,May,140227,132502,7725,5.5,Dauphin
2014,Jun,141157,133245,7912,5.6,Dauphin
2014,Jul,142477,134023,8454,5.9,Dauphin
2014,Aug,141474,133663,7811,5.5,Dauphin
2014,Sep,138895,132336,6559,4.7,Dauphin
2014,Oct,138979,132593,6386,4.6,Dauphin
2014,Nov,139064,132848,6216,4.5,Dauphin
2014,Dec,138653,132548,6105,4.4,Dauphin
2015,Jan,138646,131365,7281,5.3,Dauphin
2015,Feb,138930,131939,6991,5.0,Dauphin
2015,Mar,138807,132098,6709,4.8,Dauphin
2015,Apr,139913,133800,6113,4.4,Dauphin
2015,May,142013,135003,7010,4.9,Dauphin
2015,Jun,143000,135876,7124,5.0,Dauphin
2015,Jul,144251,136812,7439,5.2,Dauphin
2015,Aug,143336,136513,6823,4.8,Dauphin
2015,Sep,140623,134678,5945,4.2,Dauphin
2015,Oct,140517,134596,5921,4.2,Dauphin
2015,Nov,140967,135198,5769,4.1,Dauphin
2015,Dec,140790,135171,5619,4.0,Dauphin
2016,Jan,140276,133724,6552,4.7,Dauphin
2016,Feb,140134,133411,6723,4.8,Dauphin
2016,Mar,140928,134118,6810,4.8,Dauphin
2016,Apr,141282,134858,6424,4.5,Dauphin
2016,May,142565,135702,6863,4.8,Dauphin
2016,Jun,143941,136624,7317,5.1,Dauphin
2016,Jul,145451,137753,7698,5.3,Dauphin
2016,Aug,143839,136335,7504,5.2,Dauphin
2016,Sep,142350,135594,6756,4.7,Dauphin
2016,Oct,141987,135392,6595,4.6,Dauphin
2016,Nov,141909,135799,6110,4.3,Dauphin
2016,Dec,141133,135268,5865,4.2,Dauphin
2017,Jan,141192,134315,6877,4.9,Dauphin
2017,Feb,141180,134071,7109,5.0,Dauphin
2017,Mar,141220,134693,6527,4.6,Dauphin
2017,Apr,141983,136130,5853,4.1,Dauphin
2017,May,142256,135776,6480,4.6,Dauphin
2017,Jun,143813,136975,6838,4.8,Dauphin
2017,Jul,145200,138107,7093,4.9,Dauphin
2017,Aug,143919,136809,7110,4.9,Dauphin
2017,Sep,141944,136052,5892,4.2,Dauphin
2017,Oct,140738,135070,5668,4.0,Dauphin
2017,Nov,140638,134937,5701,4.1,Dauphin
2017,Dec,139693,133999,5694,4.1,Dauphin
2018,Jan,139639,133031,6608,4.7,Dauphin
2018,Feb,139660,133057,6603,4.7,Dauphin
