Year,Period,labor force,employment,unemployment,unemployment rate,County
2012,Jan,69922,64898,5024,7.2,Lebanon
2012,Feb,70204,65348,4856,6.9,Lebanon
2012,Mar,70438,65859,4579,6.5,Lebanon
2012,Apr,70574,66350,4224,6.0,Lebanon
2012,May,71481,66840,4641,6.5,Lebanon
2012,Jun,71922,66832,5090,7.1,Lebanon
2012,Jul,72038,66844,5194,7.2,Lebanon
2012,Aug,71105,65965,5140,7.2,Lebanon
2012,Sep,71081,66584,4497,6.3,Lebanon
2012,Oct,70981,66379,4602,6.5,Lebanon
2012,Nov,70555,66207,4348,6.2,Lebanon
2012,Dec,70578,66002,4576,6.5,Lebanon
2013,Jan,70791,65492,5299,7.5,Lebanon
2013,Feb,70614,65643,4971,7.0,Lebanon
2013,Mar,70281,65665,4616,6.6,Lebanon
2013,Apr,69985,65813,4172,6.0,Lebanon
2013,May,71044,66529,4515,6.4,Lebanon
2013,Jun,71779,66937,4842,6.7,Lebanon
2013,Jul,71741,66927,4814,6.7,Lebanon
2013,Aug,71182,66658,4524,6.4,Lebanon
2013,Sep,70474,66489,3985,5.7,Lebanon
2013,Oct,70274,66306,3968,5.6,Lebanon
2013,Nov,70347,66725,3622,5.1,Lebanon
2013,Dec,70359,66924,3435,4.9,Lebanon
2014,Jan,69923,66071,3852,5.5,Lebanon
2014,Feb,69790,65870,3920,5.6,Lebanon
2014,Mar,70090,66258,3832,5.5,Lebanon
2014,Apr,69567,66355,3212,4.6,Lebanon
2014,May,70460,66840,3620,5.1,Lebanon
2014,Jun,70860,67121,3739,5.3,Lebanon
2014,Jul,71341,67331,4010,5.6,Lebanon
2014,Aug,70505,66746,3759,5.3,Lebanon
2014,Sep,69712,66616,3096,4.4,Lebanon
2014,Oct,70018,67066,2952,4.2,Lebanon
2014,Nov,69770,66870,2900,4.2,Lebanon
2014,Dec,69557,66734,2823,4.1,Lebanon
2015,Jan,69102,65554,3548,5.1,Lebanon
2015,Feb,69364,65932,3432,4.9,Lebanon
2015,Mar,69460,66190,3270,4.7,Lebanon
2015,Apr,69690,66803,2887,4.1,Lebanon
2015,May,70957,67576,3381,4.8,Lebanon
2015,Jun,71459,67959,3500,4.9,Lebanon
2015,Jul,71445,67826,3619,5.1,Lebanon
2015,Aug,70782,67466,3316,4.7,Lebanon
2015,Sep,69635,66843,2792,4.0,Lebanon
2015,Oct,69623,66847,2776,4.0,Lebanon
2015,Nov,69617,66806,2811,4.0,Lebanon
2015,Dec,69622,66874,2748,3.9,Lebanon
2016,Jan,69665,66396,3269,4.7,Lebanon
2016,Feb,70239,66907,3332,4.7,Lebanon
2016,Mar,70875,67559,3316,4.7,Lebanon
2016,Apr,70590,67643,2947,4.2,Lebanon
2016,May,71228,68142,3086,4.3,Lebanon
2016,Jun,71852,68476,3376,4.7,Lebanon
2016,Jul,71780,68189,3591,5.0,Lebanon
2016,Aug,71117,67599,3518,4.9,Lebanon
2016,Sep,70519,67456,3063,4.3,Lebanon
2016,Oct,70282,67233,3049,4.3,Lebanon
2016,Nov,69752,66963,2789,4.0,Lebanon
2016,Dec,69287,66654,2633,3.8,Lebanon
2017,Jan,69501,66293,3208,4.6,Lebanon
2017,Feb,69959,66701,3258,4.7,Lebanon
2017,Mar,70434,67431,3003,4.3,Lebanon
2017,Apr,70676,68123,2553,3.6,Lebanon
2017,May,70833,67990,2843,4.0,Lebanon
2017,Jun,71976,68920,3056,4.2,Lebanon
2017,Jul,72123,68876,3247,4.5,Lebanon
2017,Aug,71344,68061,3283,4.6,Lebanon
2017,Sep,70558,67927,2631,3.7,Lebanon
2017,Oct,69587,67067,2520,3.6,Lebanon
2017,Nov,69844,67105,2739,3.9,Lebanon
2017,Dec,69766,67129,2637,3.8,Lebanon
2018,Jan,69293,66117,3176,4.6,Lebanon
2018,Feb,69865,66678,3187,4.6,Lebanon
