Year,Period,labor force,employment,unemployment,unemployment rate,County
2012,Jan,231070,212842,18228,7.9,York
2012,Feb,230260,212296,17964,7.8,York
2012,Mar,231412,214221,17191,7.4,York
2012,Apr,230734,215134,15600,6.8,York
2012,May,233724,216563,17161,7.3,York
2012,Jun,236157,217213,18944,8.0,York
2012,Jul,237458,217777,19681,8.3,York
2012,Aug,235155,216736,18419,7.8,York
2012,Sep,234370,218043,16327,7.0,York
2012,Oct,233588,217160,16428,7.0,York
2012,Nov,231994,216536,15458,6.7,York
2012,Dec,232519,216420,16099,6.9,York
2013,Jan,233346,214792,18554,8.0,York
2013,Feb,231149,213784,17365,7.5,York
2013,Mar,230734,214504,16230,7.0,York
2013,Apr,231239,216516,14723,6.4,York
2013,May,233702,217915,15787,6.8,York
2013,Jun,236373,219321,17052,7.2,York
2013,Jul,236017,218816,17201,7.3,York
2013,Aug,233900,217825,16075,6.9,York
2013,Sep,231841,217578,14263,6.2,York
2013,Oct,229459,215190,14269,6.2,York
2013,Nov,229238,215932,13306,5.8,York
2013,Dec,228762,216073,12689,5.5,York
2014,Jan,228970,214795,14175,6.2,York
2014,Feb,228218,213888,14330,6.3,York
2014,Mar,230076,216488,13588,5.9,York
2014,Apr,229486,218354,11132,4.9,York
2014,May,232261,219758,12503,5.4,York
2014,Jun,233756,220912,12844,5.5,York
2014,Jul,234692,219691,15001,6.4,York
2014,Aug,232097,218879,13218,5.7,York
2014,Sep,229541,218647,10894,4.7,York
2014,Oct,230019,219285,10734,4.7,York
2014,Nov,229885,219466,10419,4.5,York
2014,Dec,229514,219097,10417,4.5,York
2015,Jan,231302,218693,12609,5.5,York
2015,Feb,230369,218220,12149,5.3,York
2015,Mar,230475,218933,11542,5.0,York
2015,Apr,230835,220555,10280,4.5,York
2015,May,234527,222659,11868,5.1,York
2015,Jun,235787,223547,12240,5.2,York
2015,Jul,236225,223592,12633,5.3,York
2015,Aug,234223,222749,11474,4.9,York
2015,Sep,232706,222944,9762,4.2,York
2015,Oct,231908,222284,9624,4.1,York
2015,Nov,232066,222534,9532,4.1,York
2015,Dec,232411,223082,9329,4.0,York
2016,Jan,234022,222924,11098,4.7,York
2016,Feb,233139,221761,11378,4.9,York
2016,Mar,234557,223470,11087,4.7,York
2016,Apr,233801,223592,10209,4.4,York
2016,May,235304,224631,10673,4.5,York
2016,Jun,237277,225514,11763,5.0,York
2016,Jul,238023,225581,12442,5.2,York
2016,Aug,236205,224201,12004,5.1,York
2016,Sep,235069,224569,10500,4.5,York
2016,Oct,234356,224036,10320,4.4,York
2016,Nov,234580,225112,9468,4.0,York
2016,Dec,233134,223793,9341,4.0,York
2017,Jan,235191,223840,11351,4.8,York
2017,Feb,233908,222647,11261,4.8,York
2017,Mar,234453,224084,10369,4.4,York
2017,Apr,234244,225126,9118,3.9,York
2017,May,234784,224652,10132,4.3,York
2017,Jun,236106,224981,11125,4.7,York
2017,Jul,237633,225706,11927,5.0,York
2017,Aug,235676,224059,11617,4.9,York
2017,Sep,233995,224589,9406,4.0,York
2017,Oct,232241,223267,8974,3.9,York
2017,Nov,232623,223613,9010,3.9,York
2017,Dec,231412,222726,8686,3.8,York
2018,Jan,232649,221853,10796,4.6,York
2018,Feb,232080,221461,10619,4.6,York
