Year,Period,labor force,employment,unemployment,unemployment rate,County
2012,Jan,209344,191944,17400,8.3,Berks
2012,Feb,210320,193233,17087,8.1,Berks
2012,Mar,210574,194146,16428,7.8,Berks
2012,Apr,210272,195377,14895,7.1,Berks
2012,May,212675,196390,16285,7.7,Berks
2012,Jun,213474,196051,17423,8.2,Berks
2012,Jul,214776,196796,17980,8.4,Berks
2012,Aug,212601,195457,17144,8.1,Berks
2012,Sep,212114,196855,15259,7.2,Berks
2012,Oct,211982,196620,15362,7.2,Berks
2012,Nov,211582,197149,14433,6.8,Berks
2012,Dec,211815,196710,15105,7.1,Berks
2013,Jan,212893,195220,17673,8.3,Berks
2013,Feb,211844,194626,17218,8.1,Berks
2013,Mar,210878,194987,15891,7.5,Berks
2013,Apr,210805,196271,14534,6.9,Berks
2013,May,212946,197550,15396,7.2,Berks
2013,Jun,212449,196078,16371,7.7,Berks
2013,Jul,213467,197332,16135,7.6,Berks
2013,Aug,212375,197013,15362,7.2,Berks
2013,Sep,210356,196462,13894,6.6,Berks
2013,Oct,209160,195527,13633,6.5,Berks
2013,Nov,209802,197019,12783,6.1,Berks
2013,Dec,209146,197171,11975,5.7,Berks
2014,Jan,209139,196017,13122,6.3,Berks
2014,Feb,209448,195969,13479,6.4,Berks
2014,Mar,210191,197199,12992,6.2,Berks
2014,Apr,209214,198472,10742,5.1,Berks
2014,May,211661,199418,12243,5.8,Berks
2014,Jun,212441,200378,12063,5.7,Berks
2014,Jul,214148,201297,12851,6.0,Berks
2014,Aug,211709,199601,12108,5.7,Berks
2014,Sep,210298,200014,10284,4.9,Berks
2014,Oct,211863,201895,9968,4.7,Berks
2014,Nov,211448,201737,9711,4.6,Berks
2014,Dec,210482,200983,9499,4.5,Berks
2015,Jan,211278,199647,11631,5.5,Berks
2015,Feb,210971,199496,11475,5.4,Berks
2015,Mar,210849,199925,10924,5.2,Berks
2015,Apr,211385,201679,9706,4.6,Berks
2015,May,214107,202794,11313,5.3,Berks
2015,Jun,214806,203477,11329,5.3,Berks
2015,Jul,215465,203778,11687,5.4,Berks
2015,Aug,213782,202924,10858,5.1,Berks
2015,Sep,212140,202714,9426,4.4,Berks
2015,Oct,211783,202536,9247,4.4,Berks
2015,Nov,212021,202795,9226,4.4,Berks
2015,Dec,211387,202405,8982,4.2,Berks
2016,Jan,212583,202100,10483,4.9,Berks
2016,Feb,213245,202203,11042,5.2,Berks
2016,Mar,214367,203467,10900,5.1,Berks
2016,Apr,213470,203261,10209,4.8,Berks
2016,May,213876,203300,10576,4.9,Berks
2016,Jun,214432,203222,11210,5.2,Berks
2016,Jul,215802,204063,11739,5.4,Berks
2016,Aug,214342,202699,11643,5.4,Berks
2016,Sep,213101,202704,10397,4.9,Berks
2016,Oct,212164,201948,10216,4.8,Berks
2016,Nov,211384,201938,9446,4.5,Berks
2016,Dec,210378,201046,9332,4.4,Berks
2017,Jan,210977,199957,11020,5.2,Berks
2017,Feb,211966,200839,11127,5.2,Berks
2017,Mar,212545,202263,10282,4.8,Berks
2017,Apr,212578,203560,9018,4.2,Berks
2017,May,212842,202959,9883,4.6,Berks
2017,Jun,214061,204000,10061,4.7,Berks
2017,Jul,214975,204420,10555,4.9,Berks
2017,Aug,212771,202148,10623,5.0,Berks
2017,Sep,211882,202938,8944,4.2,Berks
2017,Oct,210186,201582,8604,4.1,Berks
2017,Nov,210398,201613,8785,4.2,Berks
2017,Dec,209796,201425,8371,4.0,Berks
2018,Jan,210447,200157,10290,4.9,Berks
2018,Feb,211285,200768,10517,5.0,Berks
